calibrated_threshold_fpr_mean,calibrated_threshold_recall_mean,experiment,name,residual_variance_ratio_mean,scene_probe_mean,seed_count,strict_auprc_mean,strict_auprc_std,strict_false_alarm_events_per_hour_mean,strict_false_alarm_events_per_hour_std,strict_macro_scene_auroc_mean,strict_macro_scene_auroc_std,strict_macro_video_auroc_mean,strict_macro_video_auroc_std,strict_micro_auroc_bootstrap_ci_high,strict_micro_auroc_bootstrap_ci_low,strict_micro_auroc_mean,strict_micro_auroc_std,strict_threshold_false_positive_rate_mean,strict_threshold_false_positive_rate_std,strict_threshold_recall_mean,strict_threshold_recall_std,strict_tpr_at_0_1pct_fpr_mean,strict_tpr_at_0_1pct_fpr_std,strict_tpr_at_1pct_fpr_mean,strict_tpr_at_1pct_fpr_std,strict_worst_scene_auroc_mean,strict_worst_scene_auroc_std
0.0027624309392265192,0.5946601941747572,ped2_within_raw,raw_gaussian,1.0,,1,0.9779567454886328,0.0,17.91044781297797,0.0,0.898224199431422,0.0,0.8912054571015122,0.0,,,0.898224199431422,0.0,0.0027624309392265192,0.0,0.6237864077669902,0.0,0.5855582524271845,0.0,0.6844660194174758,0.0,0.898224199431422,0.0
0.0027624309392265192,0.6019417475728155,ped2_within_raw,raw_knn,1.0,,1,0.9741248922456831,0.0,0.0,0.0,0.880615378426219,0.0,0.8730467852906233,0.0,,,0.880615378426219,0.0,0.0,0.0,0.5673543689320388,0.0,0.5734223300970874,0.0,0.6614077669902912,0.0,0.880615378426219,0.0
0.0,0.5588592233009709,ped2_within_raw,raw_prototype,1.0,,3,0.9739755392854824,0.00038706193922542954,0.0,0.0,0.8801940853582221,0.0018374862628528306,0.8649348279122799,0.0025043777468462657,,,0.8801940853582221,0.0018374862628528306,0.0,0.0,0.5701860841423948,0.005060677994820719,0.6074029126213593,0.002758531896639545,0.6608009708737864,0.0044036288545868055,0.8801940853582221,0.0018374862628528306
0.0,0.5588592233009709,ped2_within_raw,scene_mean_prototype,0.08671289682388306,,3,0.9739755392854824,0.00038706193922542954,0.0,0.0,0.8801940853582221,0.0018374862628528306,0.8649348279122799,0.0025043777468462657,,,0.8801940853582221,0.0018374862628528306,0.0,0.0,0.5701860841423948,0.005060677994820719,0.6074029126213593,0.002758531896639545,0.6608009708737864,0.0044036288545868055,0.8801940853582221,0.0018374862628528306
0.06708577333792629,0.22171336206896552,avenue_within_raw,raw_gaussian,1.0,,1,0.41831485933301943,0.0,276.037587599702,0.0,0.610940154061791,0.0,0.6889835700481765,0.0,,,0.610940154061791,0.0,0.015759559076817087,0.0,0.11988146551724138,0.0,0.05091594827586207,0.0,0.10614224137931035,0.0,0.610940154061791,0.0
0.059421288322425075,0.20770474137931033,avenue_within_raw,raw_knn,1.0,,1,0.4155390331413516,0.0,293.6570080847894,0.0,0.6147512383147041,0.0,0.6916274696895354,0.0,,,0.6147512383147041,0.0,0.019634860489149156,0.0,0.12769396551724138,0.0,0.04337284482758621,0.0,0.10317887931034483,0.0,0.6147512383147041,0.0
0.041824549316798715,0.19585129310344826,avenue_within_raw,raw_prototype,1.0,,3,0.42351940032151675,0.0003545043468807579,289.7415813103255,9.982418763517439,0.6196594971734551,0.0007532812070494502,0.6931103321302929,0.00219674698433263,,,0.6196594971734551,0.0007532812070494502,0.020783097944654955,0.0014450238774432445,0.14313936781609196,0.005617992930896925,0.04624640804597701,0.001870749520114912,0.10425646551724138,0.0007619685142096383,0.6196594971734551,0.0007532812070494502
0.041824549316798715,0.19585129310344826,avenue_within_raw,scene_mean_prototype,0.09676969051361084,,3,0.42351940032151675,0.0003545043468807579,289.7415813103255,9.982418763517439,0.6196594971734551,0.0007532812070494502,0.6931103321302929,0.00219674698433263,,,0.6196594971734551,0.0007532812070494502,0.020783097944654955,0.0014450238774432445,0.14313936781609196,0.005617992930896925,0.04624640804597701,0.001870749520114912,0.10425646551724138,0.0007619685142096383,0.6196594971734551,0.0007532812070494502
0.0,0.003771551724137931,ped2_to_avenue_raw,raw_gaussian,1.0,,1,0.20003216727428388,0.0,499.216913744142,0.0,0.3566570922470215,0.0,0.3289734708950813,0.0,,,0.3566570922470215,0.0,1.0,0.0,1.0,0.0,0.010775862068965518,0.0,0.01697198275862069,0.0,0.3566570922470215,0.0
0.0,0.0,ped2_to_avenue_raw,raw_knn,1.0,,1,0.19128157324547604,0.0,499.216913744142,0.0,0.37378312194875696,0.0,0.3442224219200661,0.0,,,0.37378312194875696,0.0,1.0,0.0,1.0,0.0,0.002963362068965517,0.0,0.009159482758620689,0.0,0.37378312194875696,0.0
