experiment,name,seed,source_val_median,source_val_q99,target_calibration_median,target_calibration_q99,target_normal_over_source_q99,test_anomaly_median,test_normal_median,test_normal_q99
ped2_within_raw,raw_knn,13,176.0381171205131,295.5010979253622,160.4696482682137,271.94544107634596,0.7851053001868424,328.8176784752086,169.8008694940866,231.99947819223303
ped2_within_raw,raw_gaussian,13,373.35120798205827,719.9322314126499,386.76672472703706,819.3843164529054,0.7622355880390452,1154.615986700895,360.22330483938015,548.7579677590832
ped2_within_raw,raw_prototype,13,162.9170253340576,277.31621039560576,149.75938880744934,290.58425729068875,0.7897507528539595,323.58012307676836,147.0341010889274,219.01068593853668
ped2_within_raw,scene_mean_prototype,13,162.91702506567742,277.31620945598456,149.75938829621288,290.5842562575803,0.7897507546923868,323.58012227509244,147.03410110060256,219.01068570629582
ped2_within_raw,raw_prototype,29,159.4019903984945,276.97611524409615,146.04615471898614,282.0769064473349,0.7891735236777634,325.07738515621713,146.64489150966574,218.58221684176164
ped2_within_raw,scene_mean_prototype,29,159.40199095553163,276.9761155539792,146.0461550551625,282.07690608020715,0.7891735226240368,325.0773848561108,146.64489208548179,218.58221679445603
ped2_within_raw,raw_prototype,43,161.8059778449374,281.2711228658357,147.28405902959275,279.3927874799035,0.7747377179868857,326.13141456299627,145.22919852809628,217.91134786468652
ped2_within_raw,scene_mean_prototype,43,161.8059780052869,281.27112252794564,147.2840596260423,279.39278727770517,0.7747377186149432,326.13141401579605,145.22919820691493,217.91134777956475
avenue_within_raw,raw_knn,13,103.43722393491035,681.1273824794101,256.16311474569136,561.2827310518426,1.0834682177135782,203.36524423791644,126.07996659550858,737.9798711308812
avenue_within_raw,raw_gaussian,13,264.5874155847914,3034.460048756544,629.3139858014393,2191.2417060525213,1.0710349949111635,557.157999674732,302.9002126552173,3250.0129028780943
avenue_within_raw,raw_prototype,13,103.9810805081122,733.9614709187879,268.3587172707207,634.0115960598532,1.1130121517780953,210.73809569650643,124.93496960507537,816.908036069536
avenue_within_raw,scene_mean_prototype,13,103.98108038802874,733.9614679518766,268.35871890278037,634.0116019966147,1.1130121597636526,210.73809698807398,124.93496932078183,816.908038628419
avenue_within_raw,raw_prototype,29,106.38131346272439,718.6402031270777,256.8306831778982,625.9446926823639,1.14064450142155,209.9861095540034,127.45470936994343,819.712996197367
avenue_within_raw,scene_mean_prototype,29,106.38131360244996,718.6401993557515,256.8306819191856,625.9446944277711,1.140644506423361,209.98611096642367,127.45470949345014,819.7129954901269
avenue_within_raw,raw_prototype,43,101.71966851904881,731.7893939938498,271.0663693113702,648.4471932868366,1.1008252521408755,209.28049229380827,125.35587166908454,805.5722441572981
avenue_within_raw,scene_mean_prototype,43,101.71966872120636,731.7893960579008,271.0663692879832,648.4471918327833,1.1008252477353442,209.28049302650598,125.35587165816361,805.5722432055366
ped2_to_avenue_raw,raw_knn,13,160.38334071493355,265.68415222773507,3141.54300766839,3493.543221514114,12.657895611825131,2977.185824397832,3057.3036937815614,3363.0022646149278
ped2_to_avenue_raw,raw_gaussian,13,351.8136785188585,756.121433813933,22969.91998944496,25722.79575463542,32.422499717718814,20887.45290444053,21901.892418194366,24515.34697439339
ped2_to_avenue_raw,raw_prototype,13,140.3724396405537,257.1107877578001,3220.3607062396045,3567.7338075776015,13.395254108242185,3062.593148558649,3139.9579527520605,3444.064335986056
ped2_to_avenue_raw,scene_mean_prototype,13,140.37243974648214,257.1107874792092,3220.3606945629454,3567.733800641692,13.39525410425098,3062.593161652165,3139.9579666094596,3444.0643312280786
ped2_to_avenue_raw,raw_prototype,29,140.60539026241577,267.66857904881346,3199.2020310295366,3565.617208486303,12.85112210887407,3016.1208774956,3107.778057544525,3439.8415940651134
ped2_to_avenue_raw,scene_mean_prototype,29,140.60539022727463,267.66857698527787,3199.202043169104,3565.61721850214,12.851122163353276,3016.120898414155,3107.7780571694357,3439.841582128737
ped2_to_avenue_raw,raw_prototype,43,139.26021633564324,256.8388368299048,3220.417608061188,3567.9753012689634,13.416272755005135,3059.747039309521,3139.7540871577794,3445.819888988261
ped2_to_avenue_raw,scene_mean_prototype,43,139.2602166090836,256.83883752957547,3220.4176010975793,3567.9753108941973,13.41627253584096,3059.747025093423,3139.754063333946,3445.819842085362
avenue_to_ped2_raw,raw_knn,13,145.54567584909609,447.3662380646394,2700.4212420995173,2961.807150141233,6.500979011854768,2789.613774967469,2724.4902779382533,2908.318524270644
avenue_to_ped2_raw,raw_gaussian,13,363.4838055548464,1757.3770387968182,16594.305260811976,18772.729984301954,10.57282357436685,17738.473743586386,17078.51274969025,18580.437384842007
avenue_to_ped2_raw,raw_prototype,13,152.78154928249478,478.87169361195424,2913.6034991921633,3199.7164064965455,6.603353498397751,2965.6458178728444,2959.300794680671,3162.159073296154
avenue_to_ped2_raw,scene_mean_prototype,13,152.78154900197885,478.8716954830224,2913.603503895629,3199.7163912483443,6.603353475080408,2965.645810966934,2959.3007845938505,3162.159074485463
avenue_to_ped2_raw,raw_prototype,29,150.4712529640601,472.44393492245985,2991.697898645417,3267.225783408218,6.823541764519048,3066.2233814224237,3040.392549805879,3223.740921337124
avenue_to_ped2_raw,scene_mean_prototype,29,150.47125389360974,472.44393403270016,2991.6979001685336,3267.2257875284768,6.823541739770665,3066.2233732912355,3040.3925565194927,3223.740903573588
avenue_to_ped2_raw,raw_prototype,43,152.54015881234955,478.87169361195424,2922.9315736806925,3206.6908178805675,6.618936960255522,2972.2438083844118,2960.355274578319,3169.621552068322
avenue_to_ped2_raw,scene_mean_prototype,43,152.54015800044562,478.8716954830224,2922.9315663889283,3206.6908025359658,6.618936930188456,2972.2438087540686,2960.3552574817168,3169.6215500545372
ped2_avenue_joint_seen_mechanism,raw_knn,13,124.90615879838916,236.51310393036454,255.6015156011137,463.26189393526806,3.10950064860162,234.09073797660295,127.84321360837447,735.4376500742509
ped2_avenue_joint_seen_mechanism,raw_gaussian,13,195.12682649849654,591.4163002162754,443.4146722499458,1016.5531487826997,2.6854073130019716,458.0733691161191,187.44457154299658,1588.1936576293556
ped2_avenue_joint_seen_mechanism,raw_prototype,13,119.39262707383796,253.79206227453642,275.0143522653034,491.176437207325,3.1888397308766776,243.89930203285985,126.59441068430897,809.3022115621698
ped2_avenue_joint_seen_mechanism,scene_mean_prototype,13,119.51683469625186,250.9983898794571,275.0143544969321,491.1764377380661,3.224226465930384,244.01663626677703,126.4689933843556,809.2756515552586
ped2_avenue_joint_seen_mechanism,adversarial_residual,13,119.5724119642357,254.7732420158499,275.26030662637277,490.7114910526927,3.199387698402418,245.55729494978073,126.16856616514724,815.1183763876122
ped2_avenue_joint_seen_mechanism,full_srn,13,123.49320087648152,262.27975147196304,279.89774671834857,537.8817131421811,3.206377095961615,253.23857514173847,130.34949336943396,840.9677878542069
ped2_avenue_joint_seen_mechanism,srn_without_elos,13,122.02921518691119,262.5602514135441,286.6553530874439,516.6022872047691,3.168821851727963,248.60826303158547,130.15193070213604,832.0066620744263
ped2_avenue_joint_seen_mechanism,elos_without_srn,13,119.39262707383796,253.79206227453642,275.0143522653034,491.176437207325,3.1888397308766776,243.89930203285985,126.59441068430897,809.3022115621698
ped2_avenue_joint_seen_mechanism,srn_residual_only,13,124.12440318088784,262.91379678673127,284.01616790534536,517.6148152013385,3.0750543181044088,254.76849472934737,131.3132088572911,808.474206098263
ped2_avenue_joint_seen_mechanism,raw_prototype,29,125.17996521459986,250.9362260157586,274.74340161502914,491.176437207325,3.2361853114107073,246.23517510350666,128.8762078718994,812.0761287330354
ped2_avenue_joint_seen_mechanism,scene_mean_prototype,29,123.06257736738101,250.66186879108673,274.921197984016,491.1764377380661,3.294855543002376,243.67498722550621,126.56633959376184,825.8946478056464
ped2_avenue_joint_seen_mechanism,adversarial_residual,29,124.96803230177989,250.5513127553768,273.64182842492164,490.2589145605551,3.2286758426161857,244.59080837552142,128.19620714067082,808.9489708290577
