experiment,method,name,residual_variance_ratio,scene_probe,score_artifact,scorer,seed,selected_epoch,source_threshold,strict_zero_shot_auprc,strict_zero_shot_false_alarm_events_per_hour,strict_zero_shot_macro_scene_auroc,strict_zero_shot_macro_video_auroc,strict_zero_shot_micro_auroc,strict_zero_shot_threshold_false_positive_rate,strict_zero_shot_threshold_recall,strict_zero_shot_tpr_at_0_1pct_fpr,strict_zero_shot_tpr_at_1pct_fpr,strict_zero_shot_worst_scene_auroc,target_calibrated_threshold,target_normal_calibration_auprc,target_normal_calibration_false_alarm_events_per_hour,target_normal_calibration_macro_scene_auroc,target_normal_calibration_macro_video_auroc,target_normal_calibration_micro_auroc,target_normal_calibration_threshold_false_positive_rate,target_normal_calibration_threshold_recall,target_normal_calibration_tpr_at_0_1pct_fpr,target_normal_calibration_tpr_at_1pct_fpr,target_normal_calibration_worst_scene_auroc
ped2_within_raw,raw,raw_knn,1.0,,runs/ped2_within_raw/seed_13/raw_knn/scores.npz,knn,13,,296.2152048664191,0.9741248922456831,0.0,0.880615378426219,0.8730467852906233,0.880615378426219,0.0,0.5673543689320388,0.5734223300970874,0.6614077669902912,0.880615378426219,272.47948237492744,0.9741248922456831,17.91044781297797,0.880615378426219,0.8730467852906233,0.880615378426219,0.0027624309392265192,0.6019417475728155,0.5734223300970874,0.6614077669902912,0.880615378426219
ped2_within_raw,raw,raw_gaussian,1.0,,runs/ped2_within_raw/seed_13/raw_gaussian/scores.npz,gaussian,13,,721.6865367948274,0.9779567454886328,17.91044781297797,0.898224199431422,0.8912054571015122,0.898224199431422,0.0027624309392265192,0.6237864077669902,0.5855582524271845,0.6844660194174758,0.898224199431422,839.4010644073259,0.9779567454886328,17.91044781297797,0.898224199431422,0.8912054571015122,0.898224199431422,0.0027624309392265192,0.5946601941747572,0.5855582524271845,0.6844660194174758,0.898224199431422
ped2_within_raw,raw,raw_prototype,1.0,,runs/ped2_within_raw/seed_13/raw_prototype/scores.npz,prototype,13,,277.6405239581245,0.9744105677504932,0.0,0.8821943893150244,0.8658450411570632,0.8821943893150244,0.0,0.5728155339805825,0.6037621359223301,0.6565533980582524,0.8821943893150244,290.84288620254665,0.9744105677504932,0.0,0.8821943893150244,0.8658450411570632,0.8821943893150244,0.0,0.554004854368932,0.6037621359223301,0.6565533980582524,0.8821943893150244
ped2_within_raw,scene_mean,scene_mean_prototype,0.08671289682388306,,runs/ped2_within_raw/seed_13/scene_mean_prototype/scores.npz,prototype,13,,277.6405228594376,0.9744105677504932,0.0,0.8821943893150244,0.8658450411570632,0.8821943893150244,0.0,0.5728155339805825,0.6037621359223301,0.6565533980582524,0.8821943893150244,290.8428870550518,0.9744105677504932,0.0,0.8821943893150244,0.8658450411570632,0.8821943893150244,0.0,0.554004854368932,0.6037621359223301,0.6565533980582524,0.8821943893150244
ped2_within_raw,raw,raw_prototype,1.0,,runs/ped2_within_raw/seed_29/raw_prototype/scores.npz,prototype,29,,278.24591226395114,0.9734702958518726,0.0,0.8777574022421284,0.8615155189123314,0.8777574022421284,0.0,0.5746359223300971,0.6080097087378641,0.6589805825242718,0.8777574022421284,285.30662478963586,0.9734702958518726,0.0,0.8777574022421284,0.8615155189123314,0.8777574022421284,0.0,0.5625,0.6080097087378641,0.6589805825242718,0.8777574022421284
ped2_within_raw,scene_mean,scene_mean_prototype,0.08671289682388306,,runs/ped2_within_raw/seed_29/scene_mean_prototype/scores.npz,prototype,29,,278.2459124136268,0.9734702958518726,0.0,0.8777574022421284,0.8615155189123314,0.8777574022421284,0.0,0.5746359223300971,0.6080097087378641,0.6589805825242718,0.8777574022421284,285.306624104574,0.9734702958518726,0.0,0.8777574022421284,0.8615155189123314,0.8777574022421284,0.0,0.5625,0.6080097087378641,0.6589805825242718,0.8777574022421284
ped2_within_raw,raw,raw_prototype,1.0,,runs/ped2_within_raw/seed_43/raw_prototype/scores.npz,prototype,43,,282.6933352753449,0.9740457542540818,0.0,0.8806304645175133,0.8674439236674452,0.8806304645175133,0.0,0.5631067961165048,0.6104368932038835,0.6668689320388349,0.8806304645175133,284.95627183798024,0.9740457542540818,0.0,0.8806304645175133,0.8674439236674452,0.8806304645175133,0.0,0.5600728155339806,0.6104368932038835,0.6668689320388349,0.8806304645175133
ped2_within_raw,scene_mean,scene_mean_prototype,0.08671289682388306,,runs/ped2_within_raw/seed_43/scene_mean_prototype/scores.npz,prototype,43,,282.6933350945714,0.9740457542540818,0.0,0.8806304645175133,0.8674439236674452,0.8806304645175133,0.0,0.5631067961165048,0.6104368932038835,0.6668689320388349,0.8806304645175133,284.9562713080828,0.9740457542540818,0.0,0.8806304645175133,0.8674439236674452,0.8806304645175133,0.0,0.5600728155339806,0.6104368932038835,0.6668689320388349,0.8806304645175133
avenue_within_raw,raw,raw_knn,1.0,,runs/avenue_within_raw/seed_13/raw_knn/scores.npz,knn,13,,681.4528927482859,0.4155390331413516,293.6570080847894,0.6147512383147041,0.6916274696895354,0.6147512383147041,0.019634860489149156,0.12769396551724138,0.04337284482758621,0.10317887931034483,0.6147512383147041,561.407208664161,0.4155390331413516,757.6350808587566,0.6147512383147041,0.6916274696895354,0.6147512383147041,0.059421288322425075,0.20770474137931033,0.04337284482758621,0.10317887931034483,0.6147512383147041
avenue_within_raw,raw,raw_gaussian,1.0,,runs/avenue_within_raw/seed_13/raw_gaussian/scores.npz,gaussian,13,,3046.4512453571224,0.41831485933301943,276.037587599702,0.610940154061791,0.6889835700481765,0.610940154061791,0.015759559076817087,0.11988146551724138,0.05091594827586207,0.10614224137931035,0.610940154061791,2193.931568451743,0.41831485933301943,810.4933423140187,0.610940154061791,0.6889835700481765,0.610940154061791,0.06708577333792629,0.22171336206896552,0.05091594827586207,0.10614224137931035,0.610940154061791
