absolute_fpr_error,auprc,calibration_budget_videos,calibration_frames,calibration_videos,context_rank,cv_fpr_by_video,cv_mean_absolute_fpr_error,desired_fpr,direction,fa_hour_denominator,false_alarm_events_per_hour,location_dependent_recall,location_independent_recall,macro_scene_auroc,macro_video_auroc,method,micro_auroc,per_scene_auroc,per_scene_threshold_recall,per_source_video_thresholds,per_video_auroc,q95_transfer_ratio,q99_transfer_ratio,scene_auroc_std,score_artifact,scorer,seed,selected_alpha,source_normal_q95,source_normal_q99,target_test_anomaly_median,target_test_normal_q95,target_test_normal_q99,threshold,threshold_false_positive_rate,threshold_recall,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,track,uses_target_anomalies,uses_target_normal,worst_scene_auroc
0.99,0.19128157324547604,,,,,,,0.01,ped2_to_avenue,total represented test-video duration,499.216913744142,,,0.37378312194875696,0.3442224219200661,B0_pooled_q99,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 1.0}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",14.260344413819226,12.657895611825131,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_b0_pooled_q99.npz,knn,13,,232.06331136113354,265.68415222773507,2977.185824397832,3309.3027458211322,3363.0022646149278,265.8026200125154,1.0,1.0,0.002963362068965517,0.009159482758620689,B-ZS,False,False,0.37378312194875696
0.99,0.19128157324547604,,,,,,,0.01,ped2_to_avenue,total represented test-video duration,499.216913744142,,,0.37378312194875696,0.3442224219200661,B1_source_mean_std,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 1.0}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",48.61605137230444,32.52584965274496,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_b1_source_mean_std.npz,knn,13,,2.048559116602189,3.1142939505853495,89.06520148145242,99.59285525193461,101.29505681119223,3.118049217904396,1.0,1.0,0.002963362068965517,0.009159482758620689,B-ZS,False,False,0.37378312194875696
0.99,0.19128157324547604,,,,,,,0.01,ped2_to_avenue,total represented test-video duration,499.216913744142,,,0.37378312194875696,0.3442224219200661,B2_source_median_mad,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 1.0}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",43.93025522636893,30.414000404077125,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_b2_source_median_mad.npz,knn,13,,2.9745782469429702,4.369777226297265,116.89178048431958,130.67398157900973,132.90240632633206,4.374693407099158,1.0,1.0,0.002963362068965517,0.009159482758620689,B-ZS,False,False,0.37378312194875696
0.99,0.19128157324547604,,,,,,,0.01,ped2_to_avenue,total represented test-video duration,499.216913744142,,,0.37378312194875696,0.3442224219200661,B3_video_balanced_q99,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 1.0}","{""train013"": 217.51002465083928, ""train014"": 270.31506549481236, ""train015"": 290.7001699008739, ""train016"": 222.3214641839042}","{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",14.260344413819226,12.657895611825131,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_b3_video_balanced_q99.npz,knn,13,,232.06331136113354,265.68415222773507,2977.185824397832,3309.3027458211322,3363.0022646149278,246.31826483935828,1.0,1.0,0.002963362068965517,0.009159482758620689,B-ZS,False,False,0.37378312194875696
0.99,0.18441677503985168,,,,8,"{""train013"": 0.0, ""train014"": 0.03333333333333333, ""train015"": 0.006666666666666667, ""train016"": 0.0}",0.011666666666666667,0.01,ped2_to_avenue,total represented test-video duration,499.216913744142,,,0.3441644187567558,0.30687184997264266,B4_conditional_location,0.3441644187567558,"{""avenue_camera_01"": 0.3441644187567558}","{""avenue_camera_01"": 1.0}",,"{""test_01"": 0.3858927179019037, ""test_02"": 0.167147349235915, ""test_03"": 0.3437826541274817, ""test_04"": 0.20961446450605625, ""test_05"": 0.38022473551131436, ""test_06"": 0.3580435957485138, ""test_07"": 0.35077421313632223, ""test_09"": 0.36894951846094964, ""test_10"": 0.4524446709995327, ""test_11"": 0.340722391598916, ""test_12"": 0.13547884512391062, ""test_13"": 0.23946554149085794, ""test_14"": 0.05367954559640472, ""test_15"": 0.44724966459324306, ""test_16"": 0.19495776327076578, ""test_17"": 0.6101810515873016, ""test_19"": 0.35555555555555557, ""test_20"": 0.30268471024773547, ""test_21"": 0.13371616078753076}",11.118225031847157,7.969710378612628,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_b4_conditional_location.npz,knn,13,0.001,1.8824294387958715,2.64753463320565,19.891780215058972,20.929274107106256,21.100084243995447,2.6817555889538096,1.0,1.0,0.0010775862068965517,0.010775862068965518,B-ZS,False,False,0.3441644187567558
0.007309679641749915,0.19128157324547604,1,1364,"[""train_01""]",,,,0.01,ped2_to_avenue,total represented test-video duration,305.40328840818097,,,0.37378312194875696,0.3442224219200661,CAL_quantile_q99,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 0.010775862068965518}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",14.260344413819226,12.657895611825131,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_cal_quantile_q99_budget1.npz,knn,13,,232.06331136113354,265.68415222773507,2977.185824397832,3309.3027458211322,3363.0022646149278,3350.2598205612885,0.017309679641749915,0.010775862068965518,0.002963362068965517,0.009159482758620689,B-CAL,False,True,0.37378312194875696
0.01,0.19128157324547604,1,1364,"[""train_01""]",,,,0.01,ped2_to_avenue,total represented test-video duration,0.0,,,0.37378312194875696,0.3442224219200661,CAL_mean_std,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 0.0}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",0.8865912593310195,0.809698356701225,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_cal_mean_std_budget1.npz,knn,13,,232.06331136113354,265.68415222773507,147.7404829788694,205.74530346419385,215.1240214603552,265.8026200125154,0.0,0.0,0.002963362068965517,0.009159482758620689,B-CAL,False,True,0.37378312194875696
0.01,0.19128157324547604,1,1364,"[""train_01""]",,,,0.01,ped2_to_avenue,total represented test-video duration,0.0,,,0.37378312194875696,0.3442224219200661,CAL_median_mad,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 0.0}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",0.7984138886882892,0.7212441940668658,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_cal_median_mad_budget1.npz,knn,13,,232.06331136113354,265.68415222773507,146.0677990327354,185.28257084572388,191.62315224983126,265.8026200125154,0.0,0.0,0.002963362068965517,0.009159482758620689,B-CAL,False,True,0.37378312194875696
0.007137444023424045,0.18997400745174398,1,1364,"[""train_01""]",,,,0.01,ped2_to_avenue,total represented test-video duration,299.53014824648517,,,0.3738267144496775,0.3441896168347782,CAL_empirical_cdf,0.3738267144496775,"{""avenue_camera_01"": 0.3738267144496775}","{""avenue_camera_01"": 0.010775862068965518}",,"{""test_01"": 0.36321461174188396, ""test_02"": 0.136804262052114, ""test_03"": 0.3287136336138151, ""test_04"": 0.24553020573644582, ""test_05"": 0.3130847733019324, ""test_06"": 0.4243065677491907, ""test_07"": 0.3227659143811355, ""test_09"": 0.3599553219242816, ""test_10"": 0.6389756170086233, ""test_11"": 0.27566056910569103, ""test_12"": 0.09232679293052241, ""test_13"": 0.26547116736990156, ""test_14"": 0.043193308782223334, ""test_15"": 0.6818453469935358, ""test_16"": 0.7248869567745969, ""test_17"": 0.36008804563492064, ""test_19"": 0.3728505291005291, ""test_20"": 0.4791825821237586, ""test_21"": 0.11074651353568499}",0.8620488219070838,1.0989417871108966,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_cal_empirical_cdf_budget1.npz,knn,13,,232.06331136113354,265.68415222773507,147.26378083793674,200.04990416672194,291.97141705619066,265.8026200125154,0.017137444023424046,0.010775862068965518,0.0,0.009159482758620689,B-CAL,False,True,0.3738267144496775
0.009569410954185325,0.19128157324547604,2,2875,"[""train_01"", ""train_02""]",,,,0.01,ped2_to_avenue,total represented test-video duration,17.619420485087364,,,0.37378312194875696,0.3442224219200661,CAL_quantile_q99,0.37378312194875696,"{""avenue_camera_01"": 0.37378312194875696}","{""avenue_camera_01"": 0.0018857758620689656}",,"{""test_01"": 0.36320391396131685, ""test_02"": 0.13663402030883856, ""test_03"": 0.3284661497002695, ""test_04"": 0.24551131928181108, ""test_05"": 0.3129546968991611, ""test_06"": 0.4243352276139161, ""test_07"": 0.3244779543231117, ""test_09"": 0.3591703312582502, ""test_10"": 0.6389915466632683, ""test_11"": 0.27557588075880757, ""test_12"": 0.09229271142704124, ""test_13"": 0.2651476793248945, ""test_14"": 0.04378628050683478, ""test_15"": 0.6817904622514941, ""test_16"": 0.7248287994882159, ""test_17"": 0.36030505952380953, ""test_19"": 0.373015873015873, ""test_20"": 0.4789915966386555, ""test_21"": 0.11074651353568499}",14.260344413819226,12.657895611825131,0.0,analysis/track_b/scores/ped2_to_avenue/knn_seed13_cal_quantile_q99_budget2.npz,knn,13,,232.06331136113354,265.68415222773507,2977.185824397832,3309.3027458211322,3363.0022646149278,3408.2457916056883,0.0004305890458146745,0.0018857758620689656,0.002963362068965517,0.009159482758620689,B-CAL,False,True,0.37378312194875696
