method,calibration_budget_videos,direction,scorer,seed_count,threshold_false_positive_rate,absolute_fpr_error,threshold_recall,false_alarm_events_per_hour,micro_auroc,auprc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,q95_transfer_ratio,q99_transfer_ratio
CAL_empirical_cdf,1,avenue_to_ped2,gaussian,1,0.19337016574585636,0.18337016574585635,0.5127427184466019,537.3134343893391,0.6657014361958912,0.8918950107346816,0.0,0.0,1.5364561178946246,1.0156066857150319
CAL_empirical_cdf,1,avenue_to_ped2,knn,1,0.013812154696132596,0.003812154696132596,0.14502427184466019,71.64179125191188,0.6517040578233116,0.8983077941712535,0.0,0.0,1.0858448258959408,1.007545896545348
CAL_empirical_cdf,1,avenue_to_ped2,prototype,3,0.0,0.01,0.0038430420711974105,0.0,0.5354749436785925,0.8387367654194634,0.019619741100323624,0.0050566343042071195,0.9392867386988634,0.8380524176732429
CAL_empirical_cdf,1,ped2_to_avenue,gaussian,1,0.02006544953496383,0.010065449534963829,0.026131465517241378,475.7243530973588,0.3565962042647618,0.1930165395788277,0.0,0.0,0.797724919077306,1.3549610020626206
CAL_empirical_cdf,1,ped2_to_avenue,knn,1,0.017137444023424046,0.007137444023424045,0.010775862068965518,299.53014824648517,0.3738267144496775,0.18997400745174398,0.009159482758620689,0.0,0.8620488219070838,1.0989417871108966
CAL_empirical_cdf,1,ped2_to_avenue,prototype,3,0.02273510161901481,0.012735101619014812,0.009698275862068966,401.33124438254555,0.3759337355938268,0.18974759179123227,0.0047593390804597695,0.0,0.8877509550328058,1.1775308514617815
CAL_empirical_cdf,2,avenue_to_ped2,gaussian,1,0.19337016574585636,0.18337016574585635,0.5127427184466019,537.3134343893391,0.6661682669098321,0.892687621630654,0.0,0.0,1.7306083037249032,1.1439424420564581
CAL_empirical_cdf,2,avenue_to_ped2,knn,1,0.013812154696132596,0.003812154696132596,0.15109223300970873,71.64179125191188,0.6517434492839135,0.8996255259891829,0.0,0.0,1.1855072871504038,1.1723617924007848
CAL_empirical_cdf,2,avenue_to_ped2,prototype,3,0.0,0.01,0.0050566343042071195,0.0,0.5353813540381556,0.8386699170074859,0.019619741100323624,0.0050566343042071195,1.0813218167019831,0.940058801174349
CAL_empirical_cdf,2,ped2_to_avenue,gaussian,1,0.004564243885635549,0.005435756114364451,0.013469827586206896,176.19420485087363,0.35667932929445756,0.1997688842501661,0.01697198275862069,0.010775862068965518,0.7131334762964362,0.8469094713478625
CAL_empirical_cdf,2,ped2_to_avenue,knn,1,0.0004305890458146745,0.009569410954185325,0.0018857758620689656,17.619420485087364,0.3738302176256429,0.19151641951749077,0.009159482758620689,0.002963362068965517,0.8282570530747202,0.8665699936802638
CAL_empirical_cdf,2,ped2_to_avenue,prototype,3,0.0006602365369158342,0.009339763463084166,0.0022449712643678164,19.577133872319294,0.37594505711615217,0.1912322006930486,0.007273706896551724,0.0029633620689655167,0.8344468490410596,0.8494747080484445
CAL_empirical_cdf,4,avenue_to_ped2,gaussian,1,0.0027624309392265192,0.007237569060773481,0.14441747572815533,17.91044781297797,0.6929150686584777,0.9204282781894332,0.2220873786407767,0.0970873786407767,0.9965042548163038,0.865008346866288
CAL_empirical_cdf,4,avenue_to_ped2,knn,1,0.0027624309392265192,0.007237569060773481,0.050970873786407765,17.91044781297797,0.6540558118328595,0.90524675773142,0.11953883495145631,0.04429611650485437,0.942450985293644,0.9089087365902946
CAL_empirical_cdf,4,avenue_to_ped2,prototype,3,0.0,0.01,0.006067961165048544,0.0,0.535405938779524,0.8394544927783123,0.030542071197410998,0.007483818770226536,0.9586755642518288,0.8739362538069392
CAL_empirical_cdf,4,ped2_to_avenue,gaussian,1,0.0,0.01,0.003771551724137931,0.0,0.35668239167344723,0.2003285855962897,0.01697198275862069,0.010775862068965518,0.6879118060769078,0.6786678839332627
CAL_empirical_cdf,4,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37381915130156673,0.19153565216847773,0.009159482758620689,0.002963362068965517,0.8196107157963465,0.7901566580570677
CAL_empirical_cdf,4,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.3759474660329583,0.1911993282724238,0.007273706896551724,0.0029633620689655167,0.8032963417255986,0.7681383933058434
CAL_mean_std,1,avenue_to_ped2,gaussian,1,0.011049723756906077,0.0010497237569060767,0.2342233009708738,71.64179125191188,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,1.3548665036736702,1.0062442177404194
