absolute_fpr_error_mean,absolute_fpr_error_median,absolute_fpr_error_std,absolute_fpr_error_worst,auprc_mean,auprc_median,auprc_std,auprc_worst,calibration_budget_videos,direction_count,false_alarm_events_per_hour_mean,false_alarm_events_per_hour_median,false_alarm_events_per_hour_std,false_alarm_events_per_hour_worst,method,micro_auroc_mean,micro_auroc_median,micro_auroc_std,micro_auroc_worst,q95_transfer_ratio_mean,q95_transfer_ratio_median,q95_transfer_ratio_std,q95_transfer_ratio_worst,q99_transfer_ratio_mean,q99_transfer_ratio_median,q99_transfer_ratio_std,q99_transfer_ratio_worst,run_count,threshold_false_positive_rate_mean,threshold_false_positive_rate_median,threshold_false_positive_rate_std,threshold_false_positive_rate_worst,threshold_recall_mean,threshold_recall_median,threshold_recall_std,threshold_recall_worst,track
0.027259051885742132,0.01,0.052122133233292824,0.18337016574585635,0.5258646423568595,0.5099869517862378,0.3360873313986893,0.18863050683977114,1,2,258.82034601327314,334.7689892166599,206.34106865646834,537.3134343893391,CAL_empirical_cdf,0.47820544505509,0.4458920365465032,0.11586672720361564,0.3565962042647618,0.9763187765969962,0.9104437861214094,0.2000354467250045,0.797724919077306,1.052380517883897,1.0572742364129644,0.1682566308567161,0.8289541706352423,10,0.03125905188574213,0.018170857733379266,0.05484364498661657,0.19337016574585636,0.07352982716772681,0.010102370689655173,0.15200297329657847,0.0006067961165048543,B-CAL
0.026020677789979123,0.009569410954185325,0.052489376577500566,0.18337016574585635,0.5273304804489097,0.5135497158257427,0.33504087622490264,0.1900325110665897,2,2,86.15002525941699,17.619420485087364,158.79157240563262,537.3134343893391,CAL_empirical_cdf,0.4782400496576769,0.4461106659491536,0.11593471009293345,0.35667932929445756,1.0204812117475592,0.9509061136034985,0.279160006913967,0.7131334762964362,0.939838422715375,0.8996287345388801,0.1166623552379777,0.818136293994851,10,0.021415786298418667,0.0005167068549776093,0.057462075748561464,0.19337016574585636,0.07010953716103113,0.0025592672413793103,0.15393546628571098,0.0006067961165048543,B-CAL
0.009447513812154695,0.01,0.0011049723756906076,0.01,0.530950073683783,0.5141208529640576,0.3389436510419314,0.18999184087406357,4,2,3.582089562595594,0.0,7.164179125191188,17.91044781297797,CAL_empirical_cdf,0.48115326379037987,0.4461831426333248,0.12079198037787779,0.35668239167344723,0.8732393479915483,0.8810308505449953,0.09690850708193056,0.6879118060769078,0.8168965566785262,0.8275825024616779,0.0693068552244169,0.6786678839332627,10,0.0005524861878453038,0.0,0.0011049723756906076,0.0027624309392265192,0.021736378473384665,0.0024271844660194173,0.043514007827660135,0.0,B-CAL
0.009591160220994474,0.01,0.00704155296423331,0.028674033149171267,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,1,2,30.44776128206255,8.955223906488985,43.90800253458427,143.28358250382377,CAL_mean_std,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,1.0012472187989765,0.9518407229352612,0.16264767232870056,0.8192609178997602,0.87666961645465,0.85959551038682,0.11417449669029071,0.7166994893853436,10,0.006353591160220995,0.0013812154696132596,0.01132596685082873,0.03867403314917127,0.05145631067961165,0.00212378640776699,0.09226964972279862,0.0,B-CAL
0.008629834254143648,0.01,0.00540267087643945,0.01762430939226519,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,2,2,39.40298518855153,26.865671719466956,41.46568454779378,107.46268687786782,CAL_mean_std,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,1.0135965989532274,0.9815159928842916,0.19043920482540064,0.788542278501809,0.8919381386184504,0.8897183766703298,0.14023814891419753,0.6887569470729904,10,0.008287292817679558,0.004143646408839779,0.010036410013582844,0.027624309392265192,0.05946601941747572,0.010618932038834952,0.09701833102952527,0.0,B-CAL
0.009447513812154695,0.01,0.0011049723756906076,0.01,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,4,2,3.582089562595594,0.0,7.164179125191188,17.91044781297797,CAL_mean_std,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,0.902525370591925,0.895318971053596,0.08492461945720983,0.7558496974121951,0.7996847652897465,0.7690617016409997,0.07740628216043426,0.663563331160851,10,0.0005524861878453038,0.0,0.0011049723756906076,0.0027624309392265192,0.013774271844660194,0.0018203883495145632,0.021816071502963476,0.0,B-CAL
0.007657458563535911,0.01,0.004086545795257378,0.012099447513812154,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,1,2,26.865671719466956,0.0,34.21786250109929,89.55223906488986,CAL_median_mad,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,0.8975109487745245,0.7943714953141295,0.16657954118696897,0.6822931395850516,0.792528051907493,0.7098494696545863,0.17274741250755607,0.5808976302963632,10,0.004972375690607734,0.0,0.007075275400478285,0.022099447513812154,0.028640776699029126,0.0006067961165048543,0.05974757498477582,0.0,B-CAL
0.008895027624309392,0.01,0.001832389386936685,0.01,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,2,2,7.164179125191188,0.0,11.880447044577878,35.82089562595594,CAL_median_mad,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,0.847486515311014,0.8149045637074857,0.11532805128645901,0.6649882073642513,0.7491744680772869,0.6903080329515711,0.12387742012635378,0.5705313683670604,10,0.0011049723756906076,0.0,0.001832389386936685,0.0055248618784530384,0.011529126213592231,0.0018203883495145632,0.021508333234575624,0.0,B-CAL
0.009999999999999998,0.01,1.734723475976807e-18,0.01,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,4,2,0.0,0.0,0.0,0.0,CAL_median_mad,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,0.7740418433661902,0.7736497985628161,0.08757490072127555,0.5985559335400062,0.6874612387858501,0.6966410879458822,0.10536577281768422,0.4443331539171494,10,0.0,0.0,0.0,0.0,0.0026092233009708736,0.0,0.005561709295146715,0.0,B-CAL
0.03291309047793957,0.010032724767481915,0.06863319319504703,0.23861878453038673,0.5310050423208429,0.5140700814879697,0.3392412727661661,0.18979733743052868,1,2,270.1830314500186,337.7055592975078,224.59880729975052,662.686569080185,CAL_quantile_q99,0.48112838060198876,0.4461220066832443,0.1207942068263442,0.3566570922470215,14.749053118253112,14.774653992711839,8.919650887840842,7.891013039150989,12.186267911105936,11.615359593095983,7.341612578576617,6.500979011854768,10,0.03691309047793957,0.018687564588356874,0.07120022678253156,0.24861878453038674,0.0791392910947439,0.01050646551724138,0.1654657946022413,0.0006067961165048543,B-CAL
